标题,开发商,房子信息,发布信息,售价/万,单价
万科公园里端头可观滇满两年的精装小户型带家具出售,万科公园里 -新螺蛳湾,3室2厅 | 83.03平米 | 西南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,119.3,"14,369元/平"
龙泉路一梯两户通透板房有钥匙看房子方便北市区,田坝区 -红云,2室2厅 | 56.14平米 | 东 | 简装 | 高楼层(共6层)  | 平房,0人关注 / 6个月以前发布,54,"9,619元/平"
滇池俊府 电梯洋房 看房方便 价格可谈,滇池俊府 -滇池半岛,4室1厅 | 126.1平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 4个月以前发布,335,"26,567元/平"
河畔俊园 全新大四房 视野开阔无遮挡,河畔俊园 -新亚洲,4室2厅 | 111.12平米 | 东南 | 毛坯 | 低楼层(共17层)  | 板塔结合,12人关注 / 一年前发布,156,"14,039元/平"
公园1903 一梯两户端户四房 通地下室,公园1903 -度假区,4室2厅 | 142.41平米 | 西南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,385,"27,035元/平"
世纪城全新精装中空  婚房 诚心出售  景观房,世纪城玉春苑 -世纪城,6室2厅 | 225.51平米 | 东南 | 精装 | 高楼层(共16层)  | 板楼,16人关注 / 3个月以前发布,268,"11,885元/平"
前卫西路     润城一区    东南向    精装修 三房,润城 -南亚,3室2厅 | 90.34平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼,11人关注 / 9个月以前发布,133,"14,723元/平"
此房满二不唯一，证在手、产权清晰，小区中间,新亚洲体育城水晶堡 -新亚洲,3室2厅 | 121.82平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,165,"13,545元/平"
滇池大坝边 精装修端头别墅 带150平米花园 带地下室,阳光海岸 -度假区,5室2厅 | 235.68平米 | 南 | 精装 | 3层  | 板楼,11人关注 / 一年前发布,920,"39,036元/平"
园林小区溪麓南郡花园洋房 精装修带车位 中间楼层出售,溪麓南郡 -世博,4室2厅 | 175平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,13人关注 / 一年前发布,170,"9,715元/平"
此房为简单装修，采光*好朝向也好，带大露台。,新亚洲体育城百合园西区 -新亚洲,6室2厅 | 317.95平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,27人关注 / 一年前发布,270,"8,492元/平"
农大教师福利房 纯板房 一梯两户 前后无遮挡,云南农大教工住宅小区 -红云,4室2厅 | 144平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,4人关注 / 一年前发布,177,"12,292元/平"
户型方正，通透明亮.。。。。。,星汇园 -新亚洲,4室2厅 | 130.1平米 | 东南 | 简装 | 中楼层(共18层)  | 板塔结合,1人关注 / 8个月以前发布,139.8,"10,746元/平"
体育城万景园小区 4室大跃层 180万诚心出售,新亚洲体育城万景园 -新亚洲,4室2厅 | 137.14平米 | 东南 | 精装 | 高楼层(共11层)  | 塔楼,11人关注 / 一年前发布,152,"11,084元/平"
星云园大跃层 精装修业主急卖 近地铁,新亚洲体育城星云园 -新亚洲,4室2厅 | 186.37平米 | 东南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 4个月以前发布,223,"11,966元/平"
南亚风情旁 精装三房 光线好 户型好 看房方便,亚龙小区东区 -南亚,3室2厅 | 90.11平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,9人关注 / 一年前发布,102,"11,320元/平"
滇池半岛区北大资源看滇池西山毛坯房诚心出售,北大资源颐和1898 -滇池半岛,4室2厅 | 119.05平米 | 东南 | 毛坯 | 中楼层(共20层)  | 板楼,7人关注 / 一年前发布,169,"14,196元/平"
世纪城 精装带车位大平层 满二 正对小区主景观,世纪城华春苑 -世纪城,5室2厅 | 210.89平米 | 西南 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,290,"13,752元/平"
昆明湖臻园 有证看房方便 四室 小区中间位置,融城昆明湖 -昆明湖公园,4室2厅 | 150平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,62人关注 / 一年前发布,120,"8,000元/平"
房子精装修房东诚心出售，户型方正布局合理,月牙塘小区三组团 -昆八中,3室2厅 | 80.06平米 | 东 西 | 精装 | 高楼层(共6层)  | 暂无数据,13人关注 / 一年前发布,179,"22,359元/平"
房子是东南向的，小区经典户型，现在在售房源较少,金色维也纳花园 -红云,3室2厅 | 132.65平米 | 西 | 简装 | 中楼层(共15层)  | 塔楼,26人关注 / 一年前发布,158,"11,912元/平"
北市区标准两房，精装修，采光好，配套齐全,华龙人家 -红云,2室2厅 | 85.33平米 | 东 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 7个月以前发布,84,"9,845元/平"
新亚洲体育城星宇园 4室1厅 东,新亚洲体育城星宇园 -新亚洲,4室1厅 | 145.84平米 | 东 | 简装 | 高楼层(共25层)  | 板楼,1人关注 / 4个月以前发布,149,"10,217元/平"
小区在公园里天然氧吧、建设路、学府路双地铁,莲花苑小区 -虹山,4室2厅 | 102.72平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,240,"23,365元/平"
河畔俊园 全新大四房 视野开阔无遮挡,河畔俊园 -新亚洲,4室2厅 | 111.12平米 | 东南 | 毛坯 | 低楼层(共17层)  | 板塔结合,12人关注 / 一年前发布,156,"14,039元/平"
公园1903 一梯两户端户四房 通地下室,公园1903 -度假区,4室2厅 | 142.41平米 | 西南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,385,"27,035元/平"
前卫西路     润城一区    东南向    精装修 三房,润城 -南亚,3室2厅 | 90.34平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼,11人关注 / 9个月以前发布,133,"14,723元/平"
世纪城全新精装中空  婚房 诚心出售  景观房,世纪城玉春苑 -世纪城,6室2厅 | 225.51平米 | 东南 | 精装 | 高楼层(共16层)  | 板楼,16人关注 / 3个月以前发布,268,"11,885元/平"
中铁百年印象，精装修，端头房，户型好。,中铁百年印象 -昆船,3室2厅 | 115.4平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,5人关注 / 一年前发布,118,"10,226元/平"
世纪城 精装带车位大平层 满二 正对小区主景观,世纪城华春苑 -世纪城,5室2厅 | 210.89平米 | 西南 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,290,"13,752元/平"
房子户型方正，采光采阳好，配有车库，配套完善。,双桥路326号 -国贸,4室2厅 | 122.27平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,164,"13,413元/平"
白马小区东碧组团，物业费用低。,白马小区东碧组团 -白马,3室2厅 | 89.04平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,5人关注 / 一年前发布,78,"8,761元/平"
新亚洲中间楼层证在手 有钥匙可以看房 2梯4户明厨明卫,新亚洲体育城星云园 -新亚洲,3室1厅 | 124.8平米 | 东 | 简装 | 中楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,129,"10,337元/平"
房子精装修房东诚心出售，户型方正布局合理,月牙塘小区三组团 -昆八中,3室2厅 | 80.06平米 | 东 西 | 精装 | 高楼层(共6层)  | 暂无数据,13人关注 / 一年前发布,179,"22,359元/平"
北市区标准两房，精装修，采光好，配套齐全,华龙人家 -红云,2室2厅 | 85.33平米 | 东 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 7个月以前发布,84,"9,845元/平"
万科公园里端头可观滇满两年的精装小户型带家具出售,万科公园里 -新螺蛳湾,3室2厅 | 83.03平米 | 西南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,119.3,"14,369元/平"
房东诚心出售、房产证在手、精装修,新亚洲体育城星辰园 -新亚洲,3室2厅 | 88.86平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,28人关注 / 一年前发布,104.3,"11,738元/平"
枫林一梯两户退台洋房、带露台，中间位置、采光采阳好,枫林盛景(东区) -新亚洲,4室2厅 | 144.71平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,16人关注 / 10个月以前发布,171,"11,817元/平"
世纪城探春苑简装两房，证在手楼层好，房东诚心卖,世纪城探春苑 -世纪城,2室2厅 | 105.13平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,12人关注 / 一年前发布,123,"11,700元/平"
房子是东南向的，小区经典户型，现在在售房源较少,金色维也纳花园 -红云,3室2厅 | 132.65平米 | 西 | 简装 | 中楼层(共15层)  | 塔楼,26人关注 / 一年前发布,158,"11,912元/平"
北市区书香门第南北向对主景观3居室精装修诚心出售,书香门第 -红云,3室2厅 | 136.82平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 9个月以前发布,166,"12,133元/平"
园林小区溪麓南郡花园洋房 精装修带车位 中间楼层出售,溪麓南郡 -世博,4室2厅 | 175平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,13人关注 / 一年前发布,170,"9,715元/平"
此房为简单装修，采光*好朝向也好，带大露台。,新亚洲体育城百合园西区 -新亚洲,6室2厅 | 317.95平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,27人关注 / 一年前发布,270,"8,492元/平"
此房满二不唯一，证在手、产权清晰，小区中间,新亚洲体育城水晶堡 -新亚洲,3室2厅 | 121.82平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,165,"13,545元/平"
房子南东西的，小区环境很好，是个跃层的，带花园,邦盛水映长岛 -巫家坝,5室3厅 | 109.86平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,160,"14,564元/平"
万达旁 ，经典三房，一梯两户，南北通透,金顺苑 -西山万达,3室2厅 | 87.09平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,14人关注 / 8个月以前发布,107,"12,287元/平"
海伦国际精装大三房，带260平大露台,海伦国际海伦区 -世纪城,3室2厅 | 133.59平米 | 西南 | 精装 | 低楼层(共39层)  | 板塔结合,15人关注 / 一年前发布,230,"17,217元/平"
昆明湖臻园 有证看房方便 四室 小区中间位置,融城昆明湖 -昆明湖公园,4室2厅 | 150平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,62人关注 / 一年前发布,120,"8,000元/平"
生态半岛 宝象康园洋房大五房诚心出售,宝象康园 -滇池半岛,5室1厅 | 181.64平米 | 西南 | 毛坯 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,280,"15,416元/平"
顺城 金马坊 精装复式楼 带屋顶花园,复兴花园 -书林,3室2厅 | 86.33平米 | 南 | 精装 | 高楼层(共13层)  | 板楼,5人关注 / 一年前发布,200,"23,167元/平"
翠湖边 武成 低楼层 标准三室,景虹街建行宿舍 -翠湖,3室2厅 | 72.02平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 7个月以前发布,278,"38,601元/平"
云大医院旁+一环小西门商套二东西向+证在手配套成熟,新闻路262号 -小西门,2室2厅 | 54.63平米 | 东 西 | 精装 | 高楼层(共5层)  | 暂无数据,11人关注 / 6个月以前发布,96,"17,573元/平"
五华南屏街片区兴华街四楼南北通透四房出售,兴华街21号 -翠湖,4室2厅 | 99.36平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,5人关注 / 7个月以前发布,169,"17,009元/平"
滇池会展片区云玺大宅联排端头花园大 位置好,昆明恒大云玺 -滇池半岛,5室2厅 | 242平米 | 东南 | 毛坯 | 1层  | 板楼 | 联排别墅 ,4人关注 / 11个月以前发布,695,"28,720元/平"
房本在手方便交易 是标准三室两厅,金沙小区 -金沙,3室2厅 | 104.92平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,11人关注 / 7个月以前发布,99.8,"9,513元/平"
首付30万买精装大三房  业主诚心出售,第三城紫香园 -经开区,3室2厅 | 109.54平米 | 东南 | 精装 | 低楼层(共16层)  | 塔楼,3人关注 / 一年前发布,126.3,"11,531元/平"
滇池会展片区云玺大宅联排端头花园大 位置好,昆明恒大云玺 -滇池半岛,5室2厅 | 242平米 | 东南 | 毛坯 | 1层  | 板楼 | 联排别墅 ,4人关注 / 11个月以前发布,695,"28,720元/平"
顺城 金马坊 精装复式楼 带屋顶花园,复兴花园 -书林,3室2厅 | 86.33平米 | 南 | 精装 | 高楼层(共13层)  | 板楼,5人关注 / 一年前发布,200,"23,167元/平"
生态半岛 宝象康园洋房大五房诚心出售,宝象康园 -滇池半岛,5室1厅 | 181.64平米 | 西南 | 毛坯 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,280,"15,416元/平"
翠湖边 武成 低楼层 标准三室,景虹街建行宿舍 -翠湖,3室2厅 | 72.02平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 7个月以前发布,278,"38,601元/平"
滇池边 地铁口 一梯两户 板式花园洋房,艺术家园区C区 -滇池半岛,3室2厅 | 134.53平米 | 西南 | 精装 | 低楼层(共8层)  | 板楼,27人关注 / 9个月以前发布,164,"12,191元/平"
爱琴海旁 未名城精装修大三房，业主诚心出售。,未名城A2地块 -大商汇,3室1厅 | 106.25平米 | 西南 西 | 简装 | 高楼层(共27层)  | 塔楼,2人关注 / 3个月以前发布,117,"11,012元/平"
俊发海东俊园，东南朝向，4房2卫。全新装修未住过人,海东俊园 -滇池半岛,4室1厅 | 129.75平米 | 东南 | 精装 | 6层  | 板楼,1人关注 / 4个月以前发布,339,"26,128元/平"
金地二期东向精装经典小三房，户型方正,金地·悦天下珺悦 -南亚,3室2厅 | 85.67平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,138,"16,109元/平"
双地铁口旁 锦苑花园 中空大跃层 带屋顶花园 南北通透,锦苑花园 -昆明站,4室2厅 | 137.34平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,21人关注 / 一年前发布,206,"15,000元/平"
万科学府旁 阳之光小区 大三室 地铁口,阳之光小区 -虹山,3室2厅 | 97.7平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,25人关注 / 一年前发布,102,"10,441元/平"
板房户型方正楼层好，精装修小区环境好。房东诚心出售,碧桂园半山龙庭 -昆八中,4室2厅 | 119.94平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,8人关注 / 一年前发布,158,"13,174元/平"
万科经典大三房，东端头房，采光采阳视线好无遮挡。,万科魅力之城 -新亚洲,3室2厅 | 101.73平米 | 东 | 精装 | 高楼层(共33层)  | 塔楼,62人关注 / 一年前发布,116,"11,403元/平"
月牙塘公园 一梯两户 三楼南北通透 房东急售,昆烟二部小区 -昆八中,2室2厅 | 56.82平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,19人关注 / 一年前发布,51,"8,976元/平"
滇池大坝边 精装修端头别墅 带150平米花园 带地下室,阳光海岸 -度假区,5室2厅 | 235.68平米 | 南 | 精装 | 3层  | 板楼,11人关注 / 一年前发布,920,"39,036元/平"
河畔俊园 全新大四房 视野开阔无遮挡,河畔俊园 -新亚洲,4室2厅 | 111.12平米 | 东南 | 毛坯 | 低楼层(共17层)  | 板塔结合,12人关注 / 一年前发布,156,"14,039元/平"
公园1903 一梯两户端户四房 通地下室,公园1903 -度假区,4室2厅 | 142.41平米 | 西南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,385,"27,035元/平"
前卫西路     润城一区    东南向    精装修 三房,润城 -南亚,3室2厅 | 90.34平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼,11人关注 / 9个月以前发布,133,"14,723元/平"
南亚风情旁 精装三房 光线好 户型好 看房方便,亚龙小区东区 -南亚,3室2厅 | 90.11平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,9人关注 / 一年前发布,102,"11,320元/平"
世纪城全新精装中空  婚房 诚心出售  景观房,世纪城玉春苑 -世纪城,6室2厅 | 225.51平米 | 东南 | 精装 | 高楼层(共16层)  | 板楼,16人关注 / 3个月以前发布,268,"11,885元/平"
龙泉路一梯两户通透板房有钥匙看房子方便北市区,田坝区 -红云,2室2厅 | 56.14平米 | 东 | 简装 | 高楼层(共6层)  | 平房,0人关注 / 6个月以前发布,54,"9,619元/平"
昆明湖臻园 有证看房方便 四室 小区中间位置,融城昆明湖 -昆明湖公园,4室2厅 | 150平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,62人关注 / 一年前发布,120,"8,000元/平"
滇池俊府 电梯洋房 看房方便 价格可谈,滇池俊府 -滇池半岛,4室1厅 | 126.1平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 4个月以前发布,335,"26,567元/平"
星云园大跃层 精装修业主急卖 近地铁,新亚洲体育城星云园 -新亚洲,4室2厅 | 186.37平米 | 东南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 4个月以前发布,223,"11,966元/平"
体育城万景园小区 4室大跃层 180万诚心出售,新亚洲体育城万景园 -新亚洲,4室2厅 | 137.14平米 | 东南 | 精装 | 高楼层(共11层)  | 塔楼,11人关注 / 一年前发布,152,"11,084元/平"
户型方正，通透明亮.。。。。。,星汇园 -新亚洲,4室2厅 | 130.1平米 | 东南 | 简装 | 中楼层(共18层)  | 板塔结合,1人关注 / 8个月以前发布,139.8,"10,746元/平"
农大教师福利房 纯板房 一梯两户 前后无遮挡,云南农大教工住宅小区 -红云,4室2厅 | 144平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,4人关注 / 一年前发布,177,"12,292元/平"
此房满二不唯一，证在手、产权清晰，小区中间,新亚洲体育城水晶堡 -新亚洲,3室2厅 | 121.82平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,165,"13,545元/平"
集成花园 3室2厅 南 北,集成花园 -白马,3室2厅 | 103.33平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,95.8,"9,272元/平"
满五年+带露台+产权证已经在手上+急售,枫林盛景(东区) -新亚洲,3室2厅 | 127.16平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,28人关注 / 一年前发布,110,"8,651元/平"
"湿地公园内的生态洋房，实得面积多,端户空中叠墅",滇池俊府 -滇池半岛,4室2厅 | 130.06平米 | 东南 | 毛坯 | 中楼层(共8层)  | 板楼,2人关注 / 一年前发布,360,"27,680元/平"
精装修朝南小三房无遮挡6月满两年看房方便。,泛亚城邦 -呈贡,3室2厅 | 88平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,6人关注 / 9个月以前发布,78,"8,864元/平"
双地铁口 1梯2户花园洋房 公摊小户型方正 证件在手,金科江湖海 -滇池半岛,4室2厅 | 135.05平米 | 东南 | 毛坯 | 11层  | 板楼,0人关注 / 1个月以前发布,309,"22,881元/平"
世博片区金博花园精装别墅房东诚心出售,金博花园 -世博,5室3厅 | 316.05平米 | 东南 | 简装 | 3层  | 暂无数据 | 联排别墅 ,0人关注 / 2个月以前发布,459,"14,524元/平"
润城二区 3室2厅 东北,润城二区 -大商汇,3室2厅 | 110.51平米 | 东北 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,146,"13,212元/平"
环境优美，空气清新，业主诚心出售带前后花园别墅,世博生态城鸣凤邻里 -世博,6室3厅 | 425.46平米 | 东 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,1人关注 / 8个月以前发布,900,"21,154元/平"
毛坯现房改造过、空间大，出行方便配套设施完善,春城慧谷 -高新,3室2厅 | 132.89平米 | 西 | 毛坯 | 高楼层(共34层)  | 塔楼,18人关注 / 一年前发布,128,"9,633元/平"
山海湾 大平层 采光好 户型方正  房东急售,山海湾 -滇池半岛,5室2厅 | 243平米 | 南 | 简装 | 31层  | 板塔结合,24人关注 / 一年前发布,312,"12,840元/平"
西山区南亚万达爱琴海旁锦华苑标准2房出售。,南华小区锦华苑 -南亚,2室2厅 | 82.61平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 6个月以前发布,99,"11,985元/平"
翔盛园叠加别墅 有证满两年 南北朝向的端头房,时代俊园翔盛园 -呈贡,6室2厅 | 240平米 | 南 北 | 毛坯 | 上叠(共4层)  | 板楼 | 叠拼别墅 ,5人关注 / 一年前发布,330,"13,750元/平"
世博板块 精装修  大平层  端头房  满两年 产权证在手,云南映象城市公园广场 -世博,4室2厅 | 172.17平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,11人关注 / 一年前发布,205,"11,907元/平"
证在手 契税满二 端头东南 采阳光 中层方正 明厨明卫,金坤尚城长乐里 -南亚,3室2厅 | 151.58平米 | 东南 | 毛坯 | 中楼层(共34层)  | 板塔结合,16人关注 / 一年前发布,176.5,"11,645元/平"
集成花园 3室2厅 南 北,集成花园 -白马,3室2厅 | 103.33平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,95.8,"9,272元/平"
地铁口锦苑 中空大复式带露台 南北向户型方正通透诚售,锦苑花园 -昆明站,5室2厅 | 201.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,181,"8,961元/平"
吾悦广场旁，精装修，楼层佳，看房有钥匙，业主诚心,春城慧谷 -高新,3室2厅 | 115.45平米 | 南 | 其他 | 中楼层(共30层)  | 塔楼,0人关注 / 2个月以前发布,126,"10,914元/平"
新螺蛳湾旁  万科公园里精装3房 业主诚心出售,万科公园里 -新螺蛳湾,3室2厅 | 116.11平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,1人关注 / 一年前发布,150,"12,919元/平"
地铁口 彩云间 226平米 双证在手 满5年 价格便宜,彩云间花园 -北辰,5室2厅 | 226.66平米 | 东 南 | 简装 | 中楼层(共29层)  | 塔楼,5人关注 / 一年前发布,293,"12,927元/平"
采光充足，交通便利，户型方正，诚心出售,万科公园里 -新螺蛳湾,3室1厅 | 87.82平米 | 东南 | 精装 | 低楼层(共34层)  | 塔楼,3人关注 / 5个月以前发布,106,"12,071元/平"
152万买滇池路南亚风情旁地铁口 大4房 有车库,福源小区 -南亚,4室2厅 | 135平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,5人关注 / 7个月以前发布,152,"11,260元/平"
万科学府旁 阳之光小区 大三室 地铁口,阳之光小区 -虹山,3室2厅 | 97.7平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,25人关注 / 一年前发布,102,"10,441元/平"
双地铁口旁 锦苑花园 中空大跃层 带屋顶花园 南北通透,锦苑花园 -昆明站,4室2厅 | 137.34平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,21人关注 / 一年前发布,206,"15,000元/平"
板房户型方正楼层好，精装修小区环境好。房东诚心出售,碧桂园半山龙庭 -昆八中,4室2厅 | 119.94平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,8人关注 / 一年前发布,158,"13,174元/平"
百年印象精装3室2厅，户型方正，端头房，光线好,中铁百年印象 -昆船,3室2厅 | 122.76平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,5人关注 / 一年前发布,133,"10,835元/平"
农业大学宿舍纯板楼，楼层好，四室两厅户型好,云南农业大学教工宿舍二区 -茨坝,4室2厅 | 114.12平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,37人关注 / 一年前发布,102,"8,938元/平"
凯旋花园南区 1室1厅 南,凯旋花园南区 -南亚,1室1厅 | 46.09平米 | 南 | 简装 | 中楼层(共11层)  | 塔楼,0人关注 / 2个月以前发布,48,"10,415元/平"
急售小西门大观办事处3室，步行达武成、昆二、翠湖,昆明市五华区人民政府大观街道办事处 -小西门,3室2厅 | 63.56平米 | 东 西 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 5个月以前发布,172,"27,062元/平"
金沙小区  三房两厅 四楼 满五年 证在手,金沙小区 -金沙,3室2厅 | 99平米 | 东南 南 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,99,"10,000元/平"
40W装修 视野开阔 交通方便 生活配套成熟 明厨明卫。,金尚俊园 -白云,4室1厅 | 134.95平米 | 西南 | 精装 | 低楼层(共44层)  | 塔楼,1人关注 / 2个月以前发布,190,"14,080元/平"
金星立交桥旁   同德商圈     3室2厅  房东诚售,金康园 -白云,3室2厅 | 98.23平米 | 东 | 简装 | 低楼层(共15层)  | 板楼,0人关注 / 1个月以前发布,154,"15,678元/平"
跃层，带露台，证在手满二，无抵押，业主诚信出售！,惠兰园 -呈贡,5室2厅 | 235.78平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,9人关注 / 8个月以前发布,235.5,"9,989元/平"
地铁口大五房 带车位 可随时看房 业主诚心出售,实力心城 -呈贡,6室2厅 | 208.35平米 | 东北 | 其他 | 低楼层(共39层)  | 塔楼,5人关注 / 6个月以前发布,196,"9,408元/平"
房产证满2年西向房朝小区安静，房东诚心出售,万科魅力之城 -新亚洲,3室2厅 | 89.96平米 | 西 | 精装 | 中楼层(共34层)  | 塔楼,19人关注 / 一年前发布,105,"11,672元/平"
精装修大跃层，带露台诚心出售，看房方便。,惠兰园 -呈贡,7室3厅 | 292.23平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,7人关注 / 一年前发布,310,"10,609元/平"
急售小西门大观办事处3室，步行达武成、昆二、翠湖,昆明市五华区人民政府大观街道办事处 -小西门,3室2厅 | 63.56平米 | 东 西 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 5个月以前发布,172,"27,062元/平"
凯旋花园南区 1室1厅 南,凯旋花园南区 -南亚,1室1厅 | 46.09平米 | 南 | 简装 | 中楼层(共11层)  | 塔楼,0人关注 / 2个月以前发布,48,"10,415元/平"
农业大学宿舍纯板楼，楼层好，四室两厅户型好,云南农业大学教工宿舍二区 -茨坝,4室2厅 | 114.12平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,37人关注 / 一年前发布,102,"8,938元/平"
百年印象精装3室2厅，户型方正，端头房，光线好,中铁百年印象 -昆船,3室2厅 | 122.76平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,5人关注 / 一年前发布,133,"10,835元/平"
40W装修 视野开阔 交通方便 生活配套成熟 明厨明卫。,金尚俊园 -白云,4室1厅 | 134.95平米 | 西南 | 精装 | 低楼层(共44层)  | 塔楼,1人关注 / 2个月以前发布,190,"14,080元/平"
金沙小区  三房两厅 四楼 满五年 证在手,金沙小区 -金沙,3室2厅 | 99平米 | 东南 南 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,99,"10,000元/平"
滇池卫城蓝调公元，精装修，南北通透，交通便利,滇池卫城蓝调公元 -度假区,3室2厅 | 153.8平米 | 南 北 | 精装 | 6层  | 板楼,17人关注 / 一年前发布,233,"15,150元/平"
地铁口、滇池边、精装电梯洋房、采光采阳好,滇池卫城橡尚 -度假区,2室2厅 | 79.35平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 7个月以前发布,130,"16,384元/平"
小西门武成片区3室2厅板式楼梯房急售,农行昆明市护国支行如安苑宿舍 -小西门,3室2厅 | 90.15平米 | 东 西 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,208,"23,073元/平"
润城小区经典三房 户型方正产权在手 随时可以过户,润城 -南亚,3室2厅 | 90.71平米 | 西 | 简装 | 低楼层(共18层)  | 塔楼,8人关注 / 5个月以前发布,126,"13,891元/平"
广福路巫家坝精装精装三房，户型方正，采光好。,融创澜玥台 -巫家坝,3室2厅 | 113.54平米 | 西南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 5个月以前发布,158,"13,916元/平"
广福路与官南大道路口板房，离地铁站200米左右，,滇池岭秀 -巫家坝,3室2厅 | 127.61平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,4人关注 / 一年前发布,135,"10,580元/平"
