c_area,decoration,greenland,open_date,has_short_video,gdp,metro,urban_district_population,urban_population,min_frame_area,bus,c_water_resources,is_cooperation,latitude,green_space_and_square,shopping,near_main_road,max_frame_rooms,big_block,region,longitude,urban_district_temporary_population,max_frame_area,biz,reference_unit_price
37.57,1,0,1020,0,1200.0,0,111.5,30.12,94,1,203497,2,30.49,3.9,1,1,4,0,6,114.66,3.4,125,0,9500
163.82,0,0,616,1,12156.54,0,516.3,141.54,86,0,296300,2,23.19,44.05,0,1,4,0,5,113.2,305.3,117,0,26000
163.82,0,0,540,1,12156.54,1,516.3,141.54,85,0,296300,2,22.99,44.05,0,0,4,0,5,113.11,305.3,128,0,21500
163.82,0,1,568,0,12156.54,0,516.3,141.54,25,0,296300,2,22.98,44.05,0,0,3,0,5,113.25,305.3,125,0,25500
163.82,0,0,400,0,12156.54,0,516.3,141.54,76,0,296300,2,22.87,44.05,0,0,5,0,5,113.09,305.3,132,0,12800
163.82,0,0,175,0,12156.54,0,516.3,141.54,83,0,296300,2,22.9,44.05,0,0,5,0,5,113.22,305.3,116,0,15800
163.82,0,0,658,1,12156.54,0,516.3,141.54,82,1,296300,2,23.13,44.05,1,0,4,0,5,112.88,305.3,130,0,8300
163.82,0,0,992,1,12156.54,0,516.3,141.54,64,0,296300,2,23.09,44.05,1,1,4,0,5,113.01,305.3,145,0,16000
163.82,1,0,1526,1,12156.54,0,516.3,141.54,40,1,296300,0,22.97,44.05,1,0,4,0,5,113.25,305.3,225,0,22000
163.82,1,0,1479,1,12156.54,1,516.3,141.54,40,0,296300,0,22.97,44.05,0,0,4,0,5,113.14,305.3,171,0,21000
163.82,1,0,717,1,12156.54,0,516.3,141.54,101,1,296300,0,22.87,44.05,0,0,4,0,5,112.9,305.3,171,0,5800
51.21,1,0,1450,0,815.88,0,60.4,19.78,52,0,680000,0,21.67,9.05,1,0,3,0,5,108.38,8.3,92,1,6000
51.21,1,0,1509,1,815.88,0,60.4,19.78,65,0,680000,0,21.68,9.05,1,1,4,0,5,108.38,8.3,117,1,6500
51.21,0,0,1386,0,815.88,0,60.4,19.78,80,0,680000,0,21.68,9.05,1,1,4,0,5,108.37,8.3,133,1,8500
51.21,0,0,1230,0,815.88,0,60.4,19.78,27,0,680000,0,21.68,9.05,1,1,3,0,5,108.38,8.3,102,1,8000
51.21,1,0,1601,0,815.88,0,60.4,19.78,63,1,680000,0,21.67,9.05,1,1,3,0,5,108.37,8.3,98,1,6800
51.21,1,0,1217,0,815.88,0,60.4,19.78,89,0,680000,0,21.67,9.05,1,1,4,0,5,108.37,8.3,141,1,9000
51.21,1,0,1622,1,815.88,0,60.4,19.78,99,0,680000,0,21.71,9.05,1,1,3,0,5,108.43,8.3,107,1,5400
1350.4,1,0,443,0,28231.97,0,1011.5,739.09,78,0,736432,2,22.82,194.34,0,0,4,0,5,113.51,726.6,128,0,28000
1350.4,1,0,641,1,28231.97,0,1011.5,739.09,81,0,736432,2,23.29,194.34,0,1,4,0,5,113.6,726.6,122,0,25000
1350.4,0,0,190,1,28231.97,0,1011.5,739.09,85,0,736432,2,23.16,194.34,0,1,4,0,5,113.51,726.6,142,0,35200
1350.4,0,0,516,0,28231.97,0,1011.5,739.09,66,0,736432,2,23.23,194.34,0,0,3,0,5,113.61,726.6,106,0,14000
1350.4,0,0,792,1,28231.97,0,1011.5,739.09,86,0,736432,2,22.77,194.34,0,1,4,0,5,113.56,726.6,130,0,26000
1350.4,0,0,435,0,28231.97,0,1011.5,739.09,79,0,736432,2,22.76,194.34,0,0,3,0,5,113.52,726.6,110,0,33000
1350.4,0,0,1389,1,28231.97,1,1011.5,739.09,95,0,736432,0,22.75,194.34,0,0,3,0,5,113.6,726.6,121,0,25000
1350.4,0,0,1662,1,28231.97,0,1011.5,739.09,98,1,736432,0,23.31,194.34,0,1,4,0,5,113.33,726.6,138,0,27500
1350.4,0,0,843,1,28231.97,0,1011.5,739.09,90,1,736432,0,23.16,194.34,1,0,5,0,5,113.58,726.6,205,0,23000
134.67,1,0,996,1,2311.0,0,136.9,97.28,78,0,4260000,2,25.24,15.89,0,1,4,0,5,110.15,6.9,135,1,5300
134.67,1,0,1237,1,2311.0,0,136.9,97.28,89,0,4260000,2,25.34,15.89,0,1,5,0,5,110.3,6.9,166,1,5200
134.67,1,0,1266,0,2311.0,0,136.9,97.28,93,1,4260000,2,25.24,15.89,1,1,4,0,5,110.17,6.9,143,1,5700
134.67,1,0,1678,0,2311.0,0,136.9,97.28,74,0,4260000,2,25.25,15.89,0,1,4,0,5,110.19,6.9,135,1,5200
134.67,1,0,976,1,2311.0,0,136.9,97.28,89,0,4260000,2,25.23,15.89,0,0,4,0,5,110.32,6.9,143,1,7100
134.67,1,0,1645,0,2311.0,0,136.9,97.28,61,0,4260000,2,25.26,15.89,0,0,3,0,5,110.19,6.9,119,1,5900
