min_frame_area,max_frame_area,open_date,has_short_video,longitude,urban_district_population,gdp,urban_district_temporary_population,lowest_total_price,urban_population,max_frame_rooms,greenland,c_area,near_main_road,region,reference_highest_total_price,decoration,latitude,biz,shopping,metro,green_space_and_square,reference_lowest_total_price,reference_unit_price
40,171,1479,1,113.14,516.3,12156.54,305.3,2000000,141.54,4,0,163.82,0,5,292.0,1,22.97,0,0,1,44.05,82.0,21000
101,171,717,1,112.9,516.3,12156.54,305.3,550000,141.54,4,0,163.82,0,5,95.0,1,22.87,0,0,0,44.05,72.0,5800
52,92,1450,0,108.38,60.4,815.88,8.3,504000,19.78,3,0,51.21,0,5,43.0,1,21.67,1,1,0,9.05,40.8,6000
65,117,1509,1,108.38,60.4,815.88,8.3,552000,19.78,4,0,51.21,1,5,72.0,1,21.68,1,1,0,9.05,39.0,6500
80,133,1386,0,108.37,60.4,815.88,8.3,620000,19.78,4,0,51.21,1,5,86.0,0,21.68,1,1,0,9.05,45.0,8500
27,102,1230,0,108.38,60.4,815.88,8.3,440000,19.78,3,0,51.21,1,5,75.0,0,21.68,1,1,0,9.05,42.0,8000
63,98,1601,0,108.37,60.4,815.88,8.3,693600,19.78,3,0,51.21,1,5,65.0,1,21.67,1,1,0,9.05,44.0,6800
89,141,1217,0,108.37,60.4,815.88,8.3,900000,19.78,4,0,51.21,1,5,127.0,1,21.67,1,1,0,9.05,80.0,9000
99,107,1622,1,108.43,60.4,815.88,8.3,450000,19.78,3,0,51.21,1,5,54.0,1,21.71,1,1,0,9.05,50.0,5400
78,128,443,0,113.51,1011.5,28231.97,726.6,2400000,739.09,4,0,1350.4,0,5,358.0,1,22.82,0,0,0,194.34,211.0,28000
81,122,641,1,113.6,1011.5,28231.97,726.6,2300000,739.09,4,0,1350.4,1,5,305.0,1,23.29,0,0,0,194.34,200.0,25000
85,142,190,1,113.51,1011.5,28231.97,726.6,2980000,739.09,4,0,1350.4,1,5,520.0,0,23.16,0,0,0,194.34,313.0,35200
66,106,516,0,113.61,1011.5,28231.97,726.6,1300000,739.09,3,0,1350.4,0,5,165.0,0,23.23,0,0,0,194.34,105.0,14000
86,130,792,1,113.56,1011.5,28231.97,726.6,2500000,739.09,4,0,1350.4,1,5,320.0,0,22.77,0,0,0,194.34,205.0,26000
79,110,435,0,113.52,1011.5,28231.97,726.6,2610000,739.09,3,0,1350.4,0,5,363.0,0,22.76,0,0,0,194.34,261.0,33000
95,121,1389,1,113.6,1011.5,28231.97,726.6,3000000,739.09,3,0,1350.4,0,5,330.0,0,22.75,0,0,1,194.34,320.0,25000
98,138,1662,1,113.33,1011.5,28231.97,726.6,2750000,739.09,4,0,1350.4,1,5,365.0,0,23.31,0,0,0,194.34,275.0,27500
90,205,843,1,113.58,1011.5,28231.97,726.6,2600000,739.09,5,0,1350.4,0,5,650.0,0,23.16,0,1,0,194.34,200.0,23000
78,135,996,1,110.15,136.9,2311.0,6.9,500000,97.28,4,0,134.67,1,5,75.0,1,25.24,1,0,0,15.89,45.0,5300
89,166,1237,1,110.3,136.9,2311.0,6.9,450000,97.28,5,0,134.67,1,5,86.0,1,25.34,1,0,0,15.89,45.0,5200
93,143,1266,0,110.17,136.9,2311.0,6.9,650000,97.28,4,0,134.67,1,5,90.0,1,25.24,1,1,0,15.89,68.0,5700
74,135,1678,0,110.19,136.9,2311.0,6.9,500000,97.28,4,0,134.67,1,5,110.0,1,25.25,1,0,0,15.89,50.0,5200
89,143,976,1,110.32,136.9,2311.0,6.9,690000,97.28,4,0,134.67,0,5,98.0,1,25.23,1,0,0,15.89,66.0,7100
61,119,1645,0,110.19,136.9,2311.0,6.9,400000,97.28,3,0,134.67,0,5,50.0,1,25.26,1,0,0,15.89,39.0,5900
71,245,1297,1,110.18,136.9,2311.0,6.9,410000,97.28,5,0,134.67,0,5,200.0,1,25.26,1,1,0,15.89,46.0,6000
103,141,1631,0,110.33,136.9,2311.0,6.9,930000,97.28,4,0,134.67,1,5,220.0,1,25.25,1,0,0,15.89,160.0,11800
84,175,1671,0,110.18,136.9,2311.0,6.9,550000,97.28,5,0,134.67,1,5,115.0,1,25.23,1,1,0,15.89,55.0,6300
89,181,870,0,110.19,136.9,2311.0,6.9,550000,97.28,5,0,134.67,1,5,93.0,1,25.26,1,0,0,15.89,55.0,5800
119,136,1662,0,106.83,262.9,4711.03,88.1,890000,219.5,3,0,369.0,0,4,163.2,1,26.64,0,1,0,49.01,96.0,9500
125,164,948,0,106.62,262.9,4711.03,88.1,1700000,219.5,4,0,369.0,0,4,180.0,1,26.68,0,0,0,49.01,171.0,11000
81,100,1601,0,106.62,262.9,4711.03,88.1,1400000,219.5,3,0,369.0,0,4,135.0,0,26.66,0,1,1,49.01,109.0,11500
99,266,1387,0,106.61,262.9,4711.03,88.1,1330000,219.5,4,0,369.0,0,4,478.8,1,26.65,0,1,1,49.01,100.0,10000
93,126,2361,0,106.67,262.9,4711.03,88.1,1000000,219.5,3,0,369.0,0,4,100.0,1,26.61,0,0,0,49.01,74.0,9500
76,127,931,0,106.62,262.9,4711.03,88.1,900000,219.5,3,0,369.0,1,4,150.0,1,26.61,0,0,0,49.01,90.0,12000
108,140,1617,0,106.6,262.9,4711.03,88.1,950000,219.5,4,0,369.0,0,4,134.4,1,26.63,0,1,0,49.01,100.0,8800
124,126,1662,0,106.77,262.9,4711.03,88.1,1420000,219.5,3,0,369.0,0,4,142.0,1,26.55,0,0,0,49.01,140.0,11300
79,202,1601,0,106.66,262.9,4711.03,88.1,700000,219.5,5,0,369.0,0,4,243.0,1,26.42,0,1,0,49.01,58.4,7500
81,124,1478,0,106.7,262.9,4711.03,88.1,800000,219.5,3,0,369.0,0,4,93.0,1,26.54,0,0,0,49.01,60.0,7500
52,306,3878,1,111.78,149.0,3121.43,66.0,720000,149.0,4,0,272.66,0,1,505.0,0,40.84,0,1,1,19.34,72.0,14000
137,137,2953,0,111.74,149.0,3121.43,66.0,1700000,149.0,3,0,272.66,0,1,230.0,0,40.78,0,1,0,19.34,170.0,12800
